fname,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,H6,S6,V6,H7,S7,V7,H8,S8,V8,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00000.png,75.3525568821806,7.195182680124971,59.105245789955504,41.54404754259517,10.754236441721881,87.05450699817628,2.5676299100868083,71.24820800208524,59.28243758752233,358.6404871666813,83.57095002171087,79.82170760334982,55.00184223748124,9.388350018317576,45.62973963826291,8.2159757606019,55.06610315299646,79.07091269939308,41.40242487295423,10.87689794056636,73.87899600640519,23.997920157143696,22.76391756644791,32.12327645844225,0,0,0,0,0,0,Green
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00001.png,9.7636607361639,74.38980367207913,50.1923111422062,38.760966082082454,5.260286012645969,76.8696584210081,11.118124194508399,64.26777852565863,67.70460687031151,8.787772812641666,76.08302893332983,35.871983408748115,11.04916950731033,69.49716089170543,63.18137378970824,19.710683815102502,32.63109781434388,48.15126050420168,19.44550204544536,25.509777077467525,23.77320486603661,17.682827328552406,30.512716361587533,72.52589565713198,0,1,0,0,0,0,Magenta
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00002.png,13.016519511774826,45.65289278237796,66.71715133056001,24.424324567680685,32.31518689585044,69.81247460816388,15.856572979471402,39.36785593062335,69.63514098338827,13.47810109538621,46.567222208532186,64.09803482816264,23.117788575969165,33.963078392502254,66.82057099169398,18.295184636850706,35.04300173858257,74.29389858050418,18.146271265587487,36.54948176945498,71.72459947175761,15.348734576792715,41.65646761638408,66.83538399403858,0,1,0,0,0,0,Magenta
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00003.png,34.248981176014,22.833865602339664,85.47229596063778,10.550457511880618,66.77641781368006,70.22216479939952,10.38803113633206,58.949928151637955,82.88642533936653,28.06111264381528,33.08744254667196,70.66651556888314,22.187903166666203,44.29594071079671,62.359468371239835,37.41553547179602,23.562503270555965,78.7395182647971,18.058415717019486,40.810273030502564,88.05833174693825,13.666824427848336,62.37499416250258,51.33761452179124,0,1,0,0,0,0,Red
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00004.png,57.07606257341437,5.362852571187375,91.89059061757496,26.906331570845307,24.599730598292,89.22766859026449,39.32415431926199,11.452939628527886,83.7463549522373,28.449560452556483,22.42852658894887,68.44680464778504,42.387272943131805,9.708957953591888,92.01643297059178,36.20465271258719,13.050297240998109,90.4704028809363,33.488680545622415,15.390018691439167,76.3970492680503,28.797515347978056,20.372569214923676,91.72370228114258,0,1,0,0,0,0,Yellow
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00005.png,21.529359016061974,27.752173265961886,28.01676082669428,31.97963144188819,11.334457585790059,78.78324236656769,13.833703522275064,29.79238512209993,16.241002113711854,27.053689530032898,14.74796753389668,53.33368903116803,29.932576842569123,8.972248993006655,88.34007885051149,28.988881934985145,12.494437116707273,66.97187437425873,342.19963994693956,25.967571291489318,9.035818796739653,24.174721807008833,19.120031840256758,40.112263181582726,0,0,0,0,0,0,Red
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00006.png,34.41345777678423,9.08341737794353,49.33946156704112,51.4689237241448,6.208023595038573,83.67916985625585,352.45167201099406,23.910971882975353,14.619332420595843,40.89920868335957,7.150832925691429,62.838628655707296,22.79728068827771,12.849732749643424,35.48043374527753,0.16135692278374414,19.654149889190624,23.571349740646728,50.71198952256217,5.010880573217518,90.95683199479053,47.25361128420096,6.246757722900583,75.08225729316116,0,0,0,0,0,0,Red
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00007.png,35.83227977783783,21.645610710794205,25.30290440579544,32.74898171748909,16.390248100092226,66.04657664842468,29.036111210668846,22.159175416125752,51.684475864758305,37.58260088535306,5.783079782780499,78.8784508828407,34.28485521324819,19.207662451706152,33.76954658425472,31.242475103502297,19.295360578047582,58.61072620938232,35.561308098679646,11.443601088310826,72.4734630694383,31.436065573770517,19.781925667593477,42.94661040941761,1,1,0,0,0,0,Yellow
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00008.png,30.46596337328746,73.35837961450505,27.28163992869875,39.03366384135615,41.67150286978904,51.61836371975691,191.6012666942035,7.23487242376582,11.718648365580728,38.90498473883825,65.23203682147958,67.82209143978136,33.4964532161381,86.97699999314659,59.80745682124431,39.623817440816865,46.974740200320134,71.71454628362973,333.62675898035343,12.01906364093207,17.385829681229676,37.45996880049805,45.10178197329564,35.74774287051605,0,0,0,0,1,0,Red
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00009.png,34.49250696339912,55.16102770763916,54.69930999860122,34.860453200322056,33.598277065483686,78.55943879017883,35.31339819477207,41.15045411580981,68.48250998404242,27.31617761458755,57.62026758891076,41.678726964001775,31.4205342343491,57.68953168170723,49.15190853062631,34.94006309148266,47.611321854913136,63.49274586297457,35.175018413884814,36.543521956377475,73.63813729924354,34.70443336300925,52.21310157042262,59.21143104158646,1,1,0,0,0,0,Red
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00010.png,35.68709730220374,37.977523433497105,28.608212283126804,34.64194991853426,40.83841214952972,61.053972788239584,35.18058827815697,23.344289189235162,35.329039840012285,35.24098352724897,40.98392753138283,45.422538184212975,35.41939559342706,36.7135959808722,52.443977591036415,35.141039358989545,35.872861127858194,66.29334903269064,38.23658690695311,12.941174379311757,28.38915929259363,34.83206197539988,49.37267665562213,37.70344096918329,1,1,0,0,0,0,Yellow
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00011.png,22.353886493933608,53.47350850000879,44.77285205378005,187.820321469575,1.4943323456900215,81.89755586935597,27.303247368964577,23.500354103742467,58.85690170107778,25.15923452856197,79.51064677749943,40.79267478386083,24.081635755548792,52.88291475061902,26.655523411550412,20.094643515798953,46.626682072795234,37.877566185819724,30.661537100910934,12.92427974601796,71.37676429795219,23.14612072821177,47.947584980004976,51.784646880175366,0,0,1,0,1,1,Red
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00012.png,44.024148012587304,50.84717186528578,56.43312451540747,63.744764161284984,35.03284830624552,41.49256109629481,47.61527950563904,16.97460024025397,19.55443181933571,57.15916096033055,34.47676361140283,48.168658808772804,45.418283439554465,40.38356927038328,59.358132297862966,55.320072631632684,40.32881347956851,37.157354489259944,50.13955948339106,30.239151015185882,28.36811081962175,48.15307340872074,49.633501634941446,47.4653044436199,0,1,0,0,0,0,Yellow
/home/ludosc/ludusc/old_data/stylegan-10000-textile_ada//seed00013.png,23.150512061349822,2.4360396236275603,58.905923793902616,21.690876632528266,2.73053846741955,66.73079919123853,6.980957221009814,7.2485719981624435,46.39172459550341,19.962667880719618,2.8482122654017803,54.822022346507715,20.0189697261827,2.925782488614296,63.202465823927646,3.903013936883557,18.755123676428298,57.28366832626467,20.139308329274513,2.1555457793615753,50.276051193124985,5.015165501780288,15.55992544587131,63.17830713552639,0,1,0,0,0,0,BW
